id,orpha,gard,omim,mondo,mesh,umls,icd10,do,description,prevalence,inheritance,age_onset,created_at,updated_at,meddra,orpha_name,gard_name,synonym,disease_gene_relationships_count,disease_phenotype_relationships_count,alias,not_rare_orpha,not_rare_gard
11,ORPHA:2500,6543,201200,,C538187,C0238590,L90.8,,"A rare premature aging syndrome characterized by atrophy of the skin and subcutaneous tissue involving predominantly the distal parts of the extremities, resulting in prematurely aged appearance of the hand and feet. Another prominent feature is the characteristic facies with hollow cheeks, beaked nose, and owl-like eyes. Additional, non-dermatological manifestations, like bone anomalies have been described in some patients. Mode of inheritance has not been definitively established.",,,"Childhood, Infancy",2020-12-22 18:01:20,2021-02-25 17:26:40,,Acrogeria,"Acrogeria, Gottron type","Acrogeria, Gottron type, Acrometageria, Gottron syndromen",1,16,,,NULL
12,ORPHA:38,125,101850,,C535653,C0545044,Q82.8,,"A rare dermatosis characterized by small, firm papules or plaques (resembling warts) on the sides of the hands and feet. These stationary and asymptomatic lesions appear generally at puberty, or sometimes laterThe prevalence is unknown.The histology combines hyperkeratosis and acanthosis.Both autosomal dominant and sporadic forms have been observed.Treatment is not indicated in most patients.",Unknown,Autosomal dominant or Not applicable ,"Adolescent, Adult",2020-12-22 18:01:21,2021-02-25 17:26:44,,Acrokeratoelastoidosis of Costa,Acrokeratoelastoidosis of Costa,"AKE, PPKP3, Punctate palmoplantar hyperkeratosis type 3, Punctate palmoplantar keratoderma type 3",3,8,,,NULL
13,ORPHA:254395,12673,,,,C0406365,L43.8,,"A rare cutaneous lichen planus characterized by the development of photo-distributed lichenoid lesions.The exact prevalence is unknown. It is extremely rare in Caucasians but it is more common in dark-skinned populations, particularly in young adults.Indurated plaques or papules erupt on the face, neck, and the dorsal surface of hands after exposure to ultraviolet (UV) light. Different morphological subtypes have been described: the classic form (violaceous papules), a granuloma annular-like form (annular erythematous hyperpigmented plaques), a dyschromic form (white angular coalescent papules on the neck and dorsa of the hands), and a pigmented melasma-like form (dark patches on the face and neck). There is no mucosal or nail involvement. Histology is characterized by more marked melanin incontinence than in classical lichen planus; there may also be a lighter inflammatory cell infiltrate and focal areas of parakeratosis.Etiology is unknown.",Unknown,,All ages,2020-12-22 18:01:21,2021-02-25 17:26:47,,Actinic lichen planus,Actinic lichen planus,"Actinic LP, Lichen planus actinus, Lichen planus subtropicus, Lichen planus tropicus, Lichenoid melanodermatitis, Summertime actinic lichenoid eruption",0,0,,,NULL
14,ORPHA:3243,521,608068,,D016463,C0085077,L98.2,,"A rare inflammatory disease characterized by abrupt appearance of painful, edematous and erythematous papules, plaques and nodules on the skin, and frequently accompanied by fever and neutrophilia with a dense infiltration of mature neutrophils that are typically located in the upper dermis. The disease is classically associated with inflammatory disease, pregnancy, infection (mostly of the upper respiratory tract), or vaccination but may be idiopathic, associated with a hematological or visceral malignancy, or drug-induced.Several hundred cases of Sweet syndrome have been published.Classical Sweet syndrome (CSS) usually presents in women between the age of 30 and 50 years, it is often preceded by an upper respiratory tract infection and may be associated with inflammatory bowel disease. It is characterized by the abrupt onset of painful erythematous plaques or nodules, but pustules and bullae are also described. Fever is observed in 30 to 80% of cases. Approximately one-third of patients with CSS experience recurrence of the dermatosis. Malignancy-associated Sweet syndrome (MASS) can occur as a paraneoplastic syndrome in patients with an established cancer or individuals whose Sweet syndrome-related hematologic dyscrasia or solid tumor was previously undiscovered; MASS is most commonly related to acute myelogenous leukemia. The dermatosis can precede, follow, or appear concurrently with the diagnosis of the patient's cancer. Hence, MASS can be the cutaneous harbinger of either an undiagnosed visceral malignancy in a previously cancer-free individual or an unsuspected cancer recurrence in an oncology patient. Drug-induced Sweet syndrome (DISS) most commonly occurs in patients who have been treated with granulocyte-colony stimulating factor, however, numerous medications have also be associated with DISS.The pathogenesis may be multifactorial and still remains to be definitively established. Clinical and laboratory evidence suggests that altered expression of inflammatory effector molecules, abnormal neutrophil function and genetic predisposition have an etiologic role.Sweet syndrome (SS) is a diagnosis of exclusion and is based on criteria (both of the major and 2 minor criteria are required for diagnosis). Major criteria include 1) abrupt onset of typical cutaneous lesions and 2) histopathology consistent with SS. Minor criteria include 1) lesions preceded by one of the associated infections or vaccinations; accompanied by one of the associated malignancies or inflammatory disorders; associated with drug exposure or pregnancy, 2) presence of fever and constitutional signs and symptoms, 3) leukocytosis, and 4) excellent response to systemic corticosteroids.Differential diagnosis includes infectious disorders, inflammatory disorders (e.g. arthropod bites, halogenoderma, other neutrophilic dermatoses, Wells syndrome), and neoplastic disorders (e.g. leukemia cutis, lymphoma cutis, metastatic carcinoma).Management of SS need to take into account any associated-diseases or medications. Systemic corticosteroids are the therapeutic gold standard. After initiation of treatment with systemic corticosteroids, there is a prompt response consisting of dramatic improvement of both the dermatosis-related symptoms and skin lesions. Topical application of high potency corticosteroids or intralesional corticosteroids may be used for treating localized lesions. Other first-line oral systemic agents are potassium iodide and colchicine. Second-line oral systemic agents include indomethacin and dapsone. TNF alpha inhibitors and the IL-1 receptor antagonist (anakinra) have been used in case reports.The symptoms and lesions may resolve spontaneously, without any therapeutic intervention; however, recurrence may follow either spontaneous remission or therapy-induced clinical resolution.",Unknown,Multigenic/multifactorial ,Adult,2020-12-22 18:01:21,2021-02-25 17:26:50,10000748,Sweet syndrome,Acute febrile neutrophilic dermatosis,Acute febrile neutrophilic dermatosis,104,12,,,NULL
15,ORPHA:79276,5732,176000,,D017118,C0162565,E80.2,,"A rare, severe form of the acute hepatic porphyrias characterized by the occurrence of neuro-visceral attacks without cutaneous manifestations.Patients suffer intermittent neuro-visceral attacks that can persist for several days and that repeat over several weeks. These attacks manifest as intense abdominal pain (>95% of cases) and neurological and/or psychological symptoms. The abdominal pain is often associated with lumbago irradiating to the thighs, and with nausea, vomiting and relentless constipation. Psychological symptoms are variable: irritability, emotionality, depression, considerable anxiety and, more rarely, auditory and visual hallucinations, disorientation, mental confusion. Neurological manifestations can affect the central nervous system as much as the peripheral nervous system (myalgia, paresis, ascending flaccid paralysis of the limbs, or convulsions) and can lead to severe complications such as motor paralysis. Tachycardia and hyponatremia are common during attacks. In cases with cardiac arrhythmia and respiratory paralysis (rare), attacks can be fatal. The attacks are most commonly triggered by exogenous factors (porphyrinogenic drugs, alcohol, infections, a hypo-calorific diet, stress), and/or endogenous factors (hormonal, linked to menstrual cycle).Acute intermittent porphyria is caused by a deficiency of porphobilinogen deaminase (PBG-D; the third enzyme in the heme biosynthesis pathway) that leads to an accumulation of the precursors of porphyrins in the liver (delta-aminolevulinic acid, ALA and porphobilinogen, PBG). The enzyme deficiency is caused by mutations of the HMBS gene (11q23.3) coding for PBG-D. Transmission is autosomal dominant and penetrance is very weak.The observation of urine that is pink orred after exposure to light evokes the diagnosis of the disease. Diagnosis is based on the evidence of elevated concentrations of PBG and ALA in the urine and residual PBG-D activity in 50% of red blood cells (not always found during attacks). Diagnosis can be confirmed by the identification of a causal mutation of the HMBS gene.Differential diagnoses with other acute hepatic porphyrias is dependent on the concentration of porphrins in urine and, particularly, in stools and plasma.Genetic counseling should be offered to patients and their families to identify individuals susceptible to developing or transmitting the disease.When an acute attack is confirmed, urgent treatment with an injection of human hemin and/or perfusion of carbohydrates is required. Management includes the suppression of triggering factors, relief from pain (opiates), vomiting and anxiety, and the prevention of attacks (by avoiding triggering factors, particularly drugs).In certain patients attacks recur, resulting in the need for repeated and more frequent injections of human hemin. Crippling attacks can possibly indicate the need for a hepatic transplant. However, in the majority of cases, no attacks of acute intermittent porphyria occur during all adult life and the disease is rarely progressive.",1-9 / 1 000 000,Autosomal dominant ,"Adolescent, Adult",2020-12-22 18:01:21,2021-02-25 17:26:53,,Acute intermittent porphyria,Acute intermittent porphyria,,103,56,,,NULL
16,ORPHA:974,5739,100300,,C538225,C0265268,Q87.2,,"A rare disorder characterized by the combination of congenital limb abnormalities and scalp defects, often accompanied by skull ossification defects.The prevalence is unknown.The severity of the disorder varies greatly among affected individuals. Aplasia cutis congenita, transverse limb defects and cutis marmorata telangiectica are characteristic of this condition. The affected patients typically have malformations of the hands, arms, feet and/or legs that range from hypoplastic fingers and toes to absent hands and/or lower legs, and occasionally show intellectual deficit. AOS may be associated with a variety of physical anomalies including congenital cataract, strabismus and microphthalmia, congenital heart malformations (including tetralogy of Fallot and pulmonary atresia), and hepatoportal sclerosis. Hydrocephalus is the principal cerebral feature and epilepsy may be associated. Extensive lethal anomalies are possible.The etiopathogenesis remains unclear.Most cases are transmitted as an autosomal dominant trait, but some show autosomal recessive transmission with familial or sporadic occurrence.Limb and scalp defects require orthopedic treatment. Management requires a comprehensive multidisciplinary approach.",Unknown,Autosomal dominant or Autosomal recessive ,Neonatal,2020-12-22 18:01:21,2021-02-25 17:26:56,,Adams-Oliver syndrome,Adams-Oliver syndrome,"AOS, Congenital scalp defects with distal limb anomalies, Congenital scalp defects with distal limb reduction anomalies, Limb, scalp and skull defects",9,70,,,NULL
17,ORPHA:36397,5750,103200,,D000274,C0001529,E88.2,,"A rare disorder of subcutaneous tissue characterized by the development of painful, adipose tissue with multiple subcutaneous lipomas, in association with overweight or obesity.Prevalence is unknown. It is 5-30 times more common in women.The onset may be abrupt or indolent and most commonly occurs between 35 and 50 years of age. The main symptoms are obesity and painful adipose tissue. The most common locations for lipomas are the extremities, the trunk, the pelvic area, and the buttocks. The pain is often described as burning or aching but the pain experience varies between different individuals. A number of associate symptoms have been described. Some of them can be induced by obesity per se, such as weakness and susceptibility to fatigue. Others, such as depression and psychiatric manifestations, are common in all diseases involving pain. Therefore, such symptoms should not be seen as diagnostic for the disease. Other symptoms, such as easy bruisability, rapid heartbeat, shortness of breath, thyroid disease, diabetes and constipation have only been described in case reports and in a questionnaire study; however there is no evidence to support the association with adiposis dolorosa. Adiposis dolorosa can clinically be classified into: i) generalised diffuse form with diffusely widespread painful adipose tissue without clear lipomas ii) generalised nodular form with general pain in the adipose tissue as well as in and around lipomas iii) localised nodular form with pain in and around lipomas iv) juxta-articular form with solitary deposits of excess fat around one or several joints.The etiology remains unknown but several hypotheses have been proposed including endocrine dysfunction, nervous system dysfunction, mechanical pressure on the nerves, adipose tissue dysfunction, inflammation, infection and induced by trauma or medications. Most of the hypotheses are based on case reports and there is no convincing evidence for any of the etiologies.The basic diagnostic criteria for adiposis dolorosa are i) generalised overweight or obesity and ii) chronic pain (for greater than 3 months) in the adipose tissue. The diagnosis should be based on systemic physical examination and thorough exclusion of differential diagnoses. There are no laboratory markers for the disease. The pathohistological picture of adipose biopsies is generally indistinguishable from that of lipomas. Radiological findings overlap with other lipodystrophies, although lymphovascular anomlies and MRI patterns with fatty lesions in the subcutaneous fat have been described in single cases. Laboratory tests, biopsies, and radiology can be useful to exclude differential diagnoses.In cases of general diffuse forms of adiposis dolorosa, the differential diagnosis should include other conditions with general pain, such as fibromyalgia, lipoedema, panniculitits, endocrine disorders comprising pain and obesity, and psychiatric conditions comprising pain, especially in combination with obesity. In nodular forms of adiposis dolorosa, the differential diagnosis should include other multiple lipoma syndromes such as familial multiple lipomatosis, multiple symmetric lipomatosis, myoclonic epilepsy with red ragged fibres (MERRF) syndrome, neurofibromatosis type 1, and multiple endocrine neoplasia type 1 (MEN1). In case of single lesions, adipose tissue tumors, such as sarcoma, have to be excluded.The majority of reported cases are sporadic. Autosomal dominant inheritance has been suggested in several case reports; however, there are no described mutations.Treatment is symptomatic. Few convincing larger studies have been conducted. Methods that have been described for pain relief include liposuction or surgical resection of lipomas and traditional analgesics (NSAIDs). The following treatments have only been described in case reports or case series: lidocaine, corticosteroids, combinations of mexiletine and amitriptyline, or infliximab, calcium-channel modulators, D-thyroxine interferon alfa-2b, methotrexate, metformin, deoxycholic acid, rapid cycling hypobaric pressure, and transcutaneous electrical simulations. Only one case of treatment with bariatric surgery in adiposis dolorosa has been described. There are no studies on the effect of weight loss in adiposis dolorosa.The disease course is chronic. Case reports have suggested that pain increases with time. A study with a five-year follow-up has suggested that the average pain is relatively constant over time.",Unknown,Autosomal dominant or Not applicable ,Adult,2020-12-22 18:01:21,2021-02-25 17:27:00,10001294,Adiposis dolorosa,Adiposis dolorosa,"Adiposalgia, Adipose tissue rheumatism, Dercum disease, Lipomatosis dolorosa",1,31,,,NULL
18,ORPHA:978,384,103285,,C538052,C1863204,Q87.2,,"A rare ectodermal dysplasia syndrome characterized by ectrodactyly, syndactyly, mammary hypoplasia, and excessive freckling as well as other typical ectodermal defects such as hypodontia, lacrimal duct anomalies, hypotrichosis, and onychodysplasia.",<1 / 1 000 000,Autosomal dominant ,"Neonatal, Antenatal",2020-12-22 18:01:21,2021-02-25 17:27:03,,ADULT syndrome,ADULT syndrome,"Acro-dermato-ungual-lacrimal-tooth syndrome, Pigment anomaly-ectrodactyly-hypodontia syndrome",6,38,,,NULL
19,ORPHA:86875,,,,D015459,C0023493,C91.5,,"A rare, virus associated tumor due to human T-cell leukemia virus type 1 or human T-cell lymphotropic virus type 1 (HTLV-1) and is characterized by the presence of anti-HTLV-1 antibodies, and malignant, mature, medium-sized T cells with condensed chromatin and polylobated nuclei. The malignant cells exhibit a mature CD4+ T cells phenotype and express CD2, CD5, CD25, CD45RO, HLA-DR, and T-cell receptor αβ. Presentation is heterogeneous and is typically of aggressive leukemia or lymphoma, variable skin eruptions, and visceral organ involvement.",1-9 / 100 000,Not applicable or Multigenic/multifactorial ,Adult,2020-12-22 18:01:21,2021-02-25 17:27:06,10001413,Adult T-cell leukemia/lymphoma,Adult T-cell leukemia/lymphoma,ATLL,540,0,,,NULL
20,ORPHA:918,335,600501,,C535334,C1838099,-,,,,-,-,2020-12-22 18:01:21,2021-04-21 15:45:40,,ABCD syndrome,Albinism deafness syndrome,"Albinism-black lock-cell migration disorder of the neurocytes of the gut-sensorineural deafness syndrome, Albinism-black lock-cell migration disorder of the neurocytes of the gut-sensorineural hearing loss syndrome",1,0,,,NULL
