id,name,definition,synonyms,mms_code,cn_name,chapter,source,dermo_id,doid_id,orpha_codes,rsdb_id,snomed,omim,umls,mesh,genes,num_hpo,image_count,num_synonyms,has_def,is_leaf
icd11:1687046570,Mandibuloacral dysplasia,"Mandibuloacral dysplasia is characterised by postnatal growth retardation (late closure of the fontanelles), craniofacial anomalies and skeletal malformations, such as mandibular and clavicular hypoplasia (conferring an appearance of a receding chin and slopping shoulders), and mottled cutaneous pigmentation. Dental anomalies, acroosteolysis, joint rigidity and small stature have also been reported. They can be associated with adipose tissue loss in the limbs and sometimes with premature ageing ",MAD - [mandibuloacral dysplasia],,,14,foundation,DERMO:0000648,,ORPHA:2457,,"109419009 ""mandibuloacral dysplasia""","150330 ""mandibuloacral dysplasia""",,,,0,0,1,True,False
icd11:2143581938,Exacerbation of constitutional dermatitis due to occupational exposure to contact allergens,Exacerbation of constitutional dermatitis such as atopic eczema due to superadded allergic contact dermatitis from allergen encountered at work.,,,,14,foundation,,,,,,,,,,0,0,0,True,True
icd11:1611818875,Varicose ulcer of nasal septum,,nasal septum varicose ulcer,,,14,foundation,,,,,,,,,,0,0,1,False,True
icd11:1454811046,Folliculitis decalvans,"Folliculitis decalvans is characterised by the progression of scalp folliculitis to extensive inflammation, follicular destruction and scarring. In a variant called tufted folliculitis the hairs become clumped into tufts containing a dozen or more hairs. In contrast to the course in the vast majority of people who develop a bacterial pustular folliculitis of the scalp, individuals with folliculitis decalvans appear unable to eradicate Staphylococcus aureus from the hair follicle even with approp",,ED70.50,脱发性毛囊炎,14,foundation+mms,DERMO:0001444,,,,"201153004 ""folliculitis decalvans"";53593008 ""folliculitis decalvans""",,,,,0,0,0,True,False
icd11:1713879023,Alopecia areata of beard,Alopecia areata affecting the beard area,,,,14,foundation,,,,,,,,,,0,0,0,True,True
icd11:1478125852,Drug-induced toxic epidermal necrolysis,,,EH63.1,中毒性表皮坏死松解症,14,foundation+mms,,,,,,,,,,0,0,0,False,True
icd11:29970590,Chemical burn of oral mucosa,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:732618334,Balanoposthitis due to treponema,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:1246988417,Atopic eruption of pregnancy,"Atopic eruption of pregnancy is the commonest inflammatory skin problem associated with pregnancy. In contrast to other pregnancy dermatoses, it usually manifests itself within the first two trimesters. Although there is no history of previous atopic eczema in 80% of cases, patients often report having sensitive skin and/or a personal or family history of atopic disease. Most patients have elevated immunoglobulin E levels. Clinically the eruption may be obviously eczematous or appear as a widesp",Atopic prurigo of pregnancy | AEP | besnier's prurigo gestationis | eczema in pregnancy | linear IgM disease of pregnancy | nurse's early-onset prurigo of pregnancy | prurigo of pregnancy | pruritic folliculitis of pregnancy | spangler's papular dermatitis of pregnancy,,,14,foundation,DERMO:0003284,,,,,,,,,0,13,9,True,True
icd11:1918887625,Psoriasis of specified site or distribution,"The appearance, management and impact of psoriasis can vary considerably according to its location. Important variants are listed under this heading.",,EA90.5,特指部位的银屑病,14,foundation+mms,,,,,,,,,,0,0,0,True,False
icd11:1727783745,Cutaneous markers of internal malignancy,A range of generally uncommon skin signs which may point to the presence of an internal malignancy,,,内部恶性肿瘤的皮肤标志,14,foundation+mms,,,,,,,,,,0,0,0,True,False
icd11:786506553,Systemic bacterial infection affecting skin,Skin involvement associated with bacteraemia or internal foci of bacterial infection (e.g. endocarditis). The skin manifestations may represent the first sign of fulminant life-threatening infection as in meningococcal septicaemia.,,,,14,foundation,,,,,,,,,,0,0,0,True,False
icd11:2077970325,Toxic porphyria cutanea tarda,Porphyria cutanea tarda resulting from exposure to hexachlorobenzene and other polychlorinated aromatic hydrocarbons. It has occurred in epidemic form due to ingestion of hexachlorobenzene-treated wheat seedlings.,Porphyria turcica,,,14,foundation,,,,,,,,,,0,0,1,True,True
icd11:1223410411,"Burn of scalp, any part",,scalp burn,,,14,foundation,,,,,,,,,,0,0,1,False,True
icd11:1848805313,Umbilical sinus,If only the distal end of the vitelline duct closes a proximal sinus in the umbilicus will remain which leads to a potential source of infection in the newborn,,,,14,foundation,,,,,,,,,,0,0,0,True,True
icd11:1496209806,Venous dilatation,,vein dilatation,,,14,foundation,,,,,,,,,,0,0,1,False,True
icd11:1313926062,Alopecia or hair loss,"Disorders characterised by abnormal temporary or permanent loss of hair, particularly from the scalp and beard.",alopecia NOS | calvities | hair loss/balding | hair loss/baldness,ED70,脱发,14,foundation+mms,,,,,,,,,,0,0,4,True,False
icd11:1226949727,Ectodermal dysplasia - syndactyly syndrome,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:1495288983,Corrosion of unspecified degree of trunk,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:613017989,Chronic urticaria due to pseudoallergy,Chronic urticaria caused by food or drug intolerance.,,,,14,foundation,,,,,,,,,,0,0,0,True,True
icd11:1917906111,Demodex infestation of eyelid,Demodex folliculorum and Demodex brevis are commonly found in eyelash follicles and in meibomian glands of the eyelid. Heavy infestation has been associated with madarosis and with treatment-resistant chronic blepharitis.,Dermatitis of eyelid due to Demodex species,,,14,foundation,,,,,,,,,,0,0,1,True,True
icd11:7083042,Autosomal recessive hypohidrotic ectodermal dysplasia,"Ectodermal hypohidrotic or anhidrotic dysplasia is an ectodermal dysplasia syndrome characterised by decreased or absent sudation, intolerance to heat, dry, sparse hair, very fine skin, total or partial lack of teeth, characteristic facial dysmorphism, all of which are often associated with ocular, digestive, or pulmonary disorders.",,,,14,foundation,,,ORPHA:248,257,,224900,C0406702,D053360,,26,0,0,True,True
icd11:927280469,Dominant bullous dermolysis of the newborn,A variant of dominant dystrophic epidermolysis bullosa presenting with variable degrees of blistering in the neonatal period due to a deficiency of type VII collagen at the dermoepidermal junction. An increase in type VII collagen at the dermoepidermal junction over the first few weeks or months of life is accompanied by clinical improvement.,DDEB-BDN - [dominant bullous dermolysis of the newborn],,,14,foundation,,,,,,,,,,0,0,1,True,True
icd11:1846279220,Skin injury due to exposure to corrosive substances,"Damage to the skin caused by contact with corrosive or caustic substances. These include acids, alkalis and a large range of other agents (e.g. wet cement, phenolic compounds, peroxides, halogenated solvents).",,,,14,foundation,,,,,,,,,,0,0,0,True,False
icd11:721292612,Lymphoedema due to dependency and immobility,Lymphoedema occurring in immobile individuals with reduced muscle pump activity as a result of paralysis or infirmity. It is particularly liable to develop in those who are unable to sleep recumbent.,Armchair legs | Lymphoedema secondary to dependency and immobility | Wheelchair legs,BD93.11,,14,foundation,,,,,,,,,,0,0,3,True,True
icd11:497412536,Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency,This refers to any of several autosomal recessive diseases resulting from mutations of genes for enzymes mediating the biochemical steps of production of cortisol from cholesterol by the adrenal glands (steroidogenesis). This diagnosis is due to cytochrome P450 oxidoreductase deficiency.,Congenital adrenal hyperplasia due to cytochrome POR deficiency,,,14,foundation,,,,,,,,,,0,0,1,True,True
icd11:242815904,"Dominant dystrophic epidermolysis bullosa, nails only","Dystrophic epidermolysis bullosa, nails only is a rare subtype of dystrophic epidermolysis bullosa that shows no blistering and that is characterised by dystrophic or absent nails.","DDEB, nails only - [dominant dystrophic epidermolysis bullosa, nails only] | DDEB-na - [dominant dystrophic epidermolysis bullosa, nails only] | Dystrophic epidermolysis bullosa, nails only",,,14,foundation,,,,,,,,,,0,0,3,True,True
icd11:2067693244,Elephantiasis nostras verrucosa,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:1573223469,Bubble hair,,,,,14,foundation,DERMO:0001458,,,,"247551000 ""bubble hair""",,,,,0,0,0,False,True
icd11:1970262645,Drug-induced Stevens-Johnson syndrome,"This is one of the four principal forms of severe cutaneous adverse reaction to drugs (SCARs) and is characterised by inflammation, blistering and erosion of skin and mucous membranes. By definition, there is involvement of at least one mucous membrane and skin detachment is limited to less than 10% of body surface area. Most cases occur within the first 8 weeks of drug exposure. The drugs most commonly involved are antimicrobial sulfonamides, anticonvulsants, allopurinol, nevirapine and oxicam–",,EH63.0,Stevens-Johnson 综合征,14,foundation+mms,,,,,,,,,,0,0,0,True,True
icd11:1601273294,Lichen sclerosus of vulva,"Lichen sclerosus of the vulva is an inflammatory disorder of unknown aetiology affecting the skin of the vulva and perianal area. Typically it affects women in the fifth and sixth decades of life though is not uncommon in prepubertal girls. It presents with pruritus, soreness or dyspareunia. The affected skin is white and atrophic, though secondary changes including maceration, purpura and erosion may dominate the clinical picture. In longstanding cases there may be marked shrinkage of the vulva",Kraurosis vulvae | Lichen sclerosus et atrophicus of vulva | Vulval lichen sclerosus | kraurosis vulvae,EB60.0,女阴硬化性苔藓,14,foundation+mms,DERMO:0001738,,,,,,,,,0,0,4,True,False
icd11:354769257,Neonatal iron overload,"A disorder in which iron there is deposition of iron in the liver and extrahepatic tissues and which may present in the neonatal period with jaundice and oedema. There is a high mortality from fulminant liver failure. The causes of iron overload may be apparent (e.g. intrauterine blood transfusion for Rhesus haemolytic disease) though a range of mechanisms including poorly understood maternal factors are likely to be involved in neonatal haemochromatosis, the commonest clinical presentation.",,,,14,foundation,,,,,,,,,,0,0,0,True,False
icd11:2007371732,AREDYLD syndrome,"AREDYLD stands for acral-renal-ectodermal-dysplasia-lipoatrophic-diabetes, and is characterised by lipoatrophy, diabetes mellitus, generalised hypotrichosis, ectodermal dysplasia, renal alterations, dental abnormalities and other manifestations.",Acrorenal defect - ectodermal dysplasia - diabetes,,,14,foundation,,,ORPHA:1133,41,,207780,C0342280,C537427,,31,0,1,True,True
icd11:984413241,Perforating dermatoses,"A group of skin disorders characterised by trans-epidermal elimination of abnormal matter, especially collagen or elastin, from the dermis to the exterior.",,EE70,穿通性皮病,14,foundation+mms,,,,,,,,,,0,1,0,True,False
icd11:1589600380,Extramammary Paget disease of anus,"An intraepithelial adenocarcinoma of apocrine gland-bearing anal and perianal skin. It presents as irritating, itchy, burning, red scaly patches or plaques that may be solitary or multifocal and may be mistaken for an inflammatory dermatosis.",,,,14,foundation,,,,,,,,,,0,0,0,True,True
icd11:1650117770,Striae rubrae,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:2139816011,Methylmalonic aciduria,Methylmalonic acidemia is an inborn error of vitamin B12 metabolism characterised by gastrointestinal and neurometabolic manifestations resulting from decreased function of the mitochondrial enzyme methylmalonyl-CoA mutase.,Methylmalonic acidaemia,,,14,foundation,,,,,,,,,,0,0,1,True,False
icd11:1747531460,Infestation by mites,,acariasis | infestation by mites NOS | mite infestation,1G07,螨虫侵染,01,foundation+mms,,,,,,,,,,0,0,3,False,False
icd11:1168380890,Speckled or lentiginous melanocytic naevus,Speckled and lentiginous melanocytic naevus is a relatively uncommon form of congenital melanocytic naevus in which multiple grouped punctate pigmented lentiginous macules are confined within a well circumscribed patch of pale macular pigmentation which resembles a café-au-lait macule.,,,,14,foundation,,,,,,,,,,0,0,0,True,True
icd11:2110321298,Fibrous papule of nose,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:768148226,Hypertensive ischaemic leg ulcer,"Hypertensive ischaemic leg ulcers (Martorell ulcers) manifest as painful necrotic ulcers typically located on the lateral aspect of the calf, which in 50% of cases are bilateral. Histologically there is subcutaneous stenotic arteriolosclerosis. All patients are hypertensive and over half are diabetic. Differentiation from pyoderma gangrenosum and calcific arteriolopathy is important as both prognosis and management are different.",Martorell ulcer,,,14,foundation,,,,,,,,,,0,0,1,True,True
icd11:1628519266,Erythema nodosum,"An erythematous eruption commonly associated with drug reactions or infection and characterised by inflammatory nodules that are usually tender, multiple, and bilateral. These nodules are located predominantly on the shins with less common occurrence on the thighs and forearms. They undergo characteristic colour changes ending in temporary bruise-like areas. This condition usually subsides in 3-6 weeks without scarring or atrophy.",erythema contusiformis,EB31,结节性红斑,14,foundation+mms,DERMO:0001267,,,,"156363009 ""erythema nodosum"";200929004 ""erythema nodosum"";32861005 ""erythema nodosum""",,,,,1,0,1,True,False
icd11:2060824151,Raynaud phenomenon due to nonorgan specific systemic autoimmune disorder,"Raynaud phenomenon attributable to underlying autoimmune diseases including systemic sclerosis, systemic lupus erythematosus, Sjögren disease or dermatomyositis.",Raynaud phenomenon secondary to non organ specific systemic autoimmune disorder,,,14,foundation,,,,,,,,,,0,0,1,True,True
icd11:817579435,Occupational allergic contact dermatitis due to metals or metal salts,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:972721186,Erythema ab igne,A characteristic reticular telangiectatic and pigmented dermatosis resulting from repeated or prolonged exposure to infrared radiation (heat) of insufficient energy to produce a burn. It most commonly affects the lower extremities or lower back as a result of habitually sitting too close to a heat source (radiator or open hearth) or from keeping a hot water bottle held against the skin.,EAI | fire stains | toasted skin syndrome,EJ10,火激红斑,14,foundation+mms,DERMO:0002903,,,,"77140003 ""erythema ab igne"";156367005 ""erythema ab igne"";200866009 ""erythema ab igne"";238510001 ""erythema ab igne""",,,,,0,103,3,True,True
icd11:853078232,Miscellaneous occupationally-acquired skin disorders,Skin disorders of other specified types which can be attributed to occupation,,,,14,foundation,,,,,,,,,,0,0,0,True,False
icd11:716463640,Marie Unna congenital hypotrichosis,"Marie Unna hereditary hypotrichosis is a rare isolated anomaly of the hair that may be normal, sparse or absent at birth. When present it remains fine and sparse in the first few years of life, then typically during the third year of life it becomes coarse and twisted irregularly. When the hair is absent at birth it may regrow at this stage. After puberty, progressive loss begins at the vertex and produces a severe scarring atrophy.",HYPT4 - [Hypotrichosis ] (MIM 146550) | Hypotrichosis 4 (MIM 146550) | Marie Unna hypotrichosis,,,14,foundation,,,ORPHA:444,327,,146550,C2931059,C535912,,11,0,3,True,True
icd11:1435049566,Dermatoses provoked by physical or environmental factors,"A group of skin disorders due to exposure of the skin to various external physical, chemical or environmental insults including pressure and pressure sores, cold, heat, sunlight, ionizing radiation, water or the marine environment and venomous or noxious animals.",,,,14,foundation,,,,,,,,,,0,0,0,True,False
icd11:311281450,Hypomelanosis resulting from cosmetic procedure,Loss of skin pigmentation attributable to a cosmetic intervention and particularly associated with chemical peels.,,EL73.4,美容操作导致的色素减退,14,foundation+mms,,,,,,,,,,0,0,0,True,True
icd11:1973013335,Cellular neurothekeoma,,cellular neurothekeoma,,,14,foundation,DERMO:0001085,,,,,,,,,0,2,1,False,True
icd11:1401163130,Cockayne syndrome type 3,,,,,14,foundation,,,ORPHA:90324,112,,133540,C0751037,,,69,0,0,False,True
icd11:128986796,Plasma cell vulvitis,"Plasma cell vulvitis (Zoon vulvitis) is a rare benign chronic inflammatory condition of the vulva of unknown aetiology that presents with symptoms of pruritus, burning, dyspareunia, and dysuria, typically in postmenopausal women. Histologically it is characterised by dermal infiltration with plasma cells, vessel dilatation, and haemosiderin deposition. Its homologue in men is plasma cell balanitis.",Zoon vulvitis,,,14,foundation,,,,,,,,,,0,2,1,True,True
icd11:1298775237,Self-induced lip trauma,"Self-inflicted damage to lips by biting, picking, chewing etc.",,DA00.1,自身导致的唇外伤,13,foundation+mms,,,,,,,,,,0,0,0,True,False
icd11:1184113045,Multiple carboxylase deficiency due to holocarboxylase synthetase deficiency,"Holocarboxylase synthetase deficiency is a life-threatening early-onset form of multiple carboxylase deficiency (see this term), an inborn error of biotin metabolism, that, if untreated, is characterised by vomiting, tachypnoea, irritability, lethargy, exfoliative dermatitis, and seizures that can worsen to coma.",,,,14,foundation,,,,,,,,,,0,0,0,True,True
icd11:1326188987,Methylmalonyl-CoA epimerase deficiency,"This refers to deficiency of an enzyme that catalyzes the isomerization of methylmalonyl-CoA to succinyl-CoA and it is involved in key metabolic pathways. It requires a vitamin B12-derived prosthetic group, adenosylcobalamin, to function.",Methylmalonyl-CoA racemase deficiency,,,14,foundation,,,,,,,,,,0,0,1,True,True
icd11:2023437459,Port-wine stain,A port-wine stain is defined as a macular telangiectatic area of skin which is present at birth and does not spontaneously involute. Port-wine stains may be localised or extensive and they are often associated with an underlying disorder.,Naevus flammeus | CM | nevus flammeus | port-wine stain | PWS,LC50.1,葡萄酒样痣,20,foundation+mms,DERMO:0001960,"DOID:2724 ""capillary malformation""",,,"234118009 ""capillary malformation""",,,,,1,31,5,True,False
icd11:1022081900,Hypohidrosis of undetermined aetiology,Reduced or absent sweating for which no explanation has been found.,,EE01.2,病因未明的少汗症,14,foundation+mms,,,,,,,,,,0,0,0,True,True
icd11:263366843,Gnathostomiasis,"A disease caused by an infection with the parasitic worm Gnathostoma. This disease is characterised by painful, itchy swelling under the skin from movement of the parasite under the skin. This disease may also initially present with fever, lethargy, abdominal pain, vomiting, or diarrhoea, and may infect other parts of the body (lungs, bladder, eyes, ears, nervous system). Transmission is commonly by ingestion of undercooked contaminated freshwater fish, eels, frogs, birds, or reptiles, or ingest",Gnathostomosis | Wandering swelling,1F67,颚口线虫病,01,foundation+mms,,,,,,,,,,0,0,2,True,False
icd11:108432760,"HFE-related hereditary haemochromatosis, Type 1","Hemochromatosis type 1 (classic) is the most common form of hereditary hemochromatosis (HH), a group of diseases characterised by excessive tissue iron deposition. Hemochromatosis type 1 causes chronic fatigue, bronzed skin pigmentation and tissue damage in the liver, pancreas, joints, bone, endocrine glands, heart, which result in various complications in adulthood including liver fibrosis (cirrhosis with a risk of hepatocellular carcinoma), diabetes mellitus, arthropathy, osteoporosis, hypogon",C282Y/C282Y haemochromatosis | Classic haemochromatosis,,,14,foundation,,,,,,,,,,0,0,2,True,False
icd11:1122238335,Infantile napkin dermatoses,,diaper dermatosis | napkin dermatosis,EH40.1,婴儿尿布皮肤病,14,foundation+mms,,,,,,,,,,0,0,2,False,False
icd11:437372167,Graft-versus-host disease,"Graft-versus-host disease (GVHD) occurs when lymphoid cells from an immunocompetent donor are introduced into a histo-incompatible recipient incapable of rejecting them. This usually occurs as a result of haematopoietic stem cell transplantation. The main targets attacked by the donor lymphocytes are the recipient’s skin, gastrointestinal tract and liver. Acute GVHD, normally occurring within the first 100 days following transplantation, has a high mortality. The acute phase may be followed by c",GVH - [graft-versus-host] disease | GVH - [graft-versus-host] reaction | GVHD - [graft-versus-host disease] | graft-versus-host reaction or disease | GVHD,4B24,移植物抗宿主病,04,foundation+mms,DERMO:0000455,,,,"234646005 ""graft-versus-host disease""",,,,,0,7,5,True,False
icd11:1000592924,Filariasis due to Brugia malayi,"This is a parasitic disease (usually an infectious tropical disease) that is caused by thread-like nematodes (roundworms) belonging to the superfamily Filarioidea, also known as \""filariae\"". This diagnosis is due to a nematode (roundworm), one of the three causative agents of lymphatic filariasis in humans.",Brugiosis | Malayan filariasis,1F66.31,马来丝虫病,01,foundation+mms,DERMO:0002792,"DOID:14421 ""malayan filariasis""",,,"76999009 ""malayan filariasis""",,,,,0,0,2,True,True
icd11:1974989140,Mycobacterium ulcerans infection,"Mycobacterium ulcerans infection (Buruli ulcer) typically presents as a subcutaneous nodule which breaks down to form a deep painless ulcer which commonly reaches a size of 15 cm in diameter but may extend further to cause extensive tissue damage. The organism is found in wetlands of tropical and subtropical regions of the world, particularly Africa \[Dermatology TAG\].",Buruli ulcer | bairnsdale ulcer | searle's ulcer,1B21.20,溃疡分枝杆菌感染,01,foundation+mms,DERMO:0002200,"DOID:0050456 ""buruli ulcer""",,,"15845006 ""buruli ulcer"";186343005 ""buruli ulcer""",,,,,0,0,3,True,True
icd11:2012865457,Mikulicz disease,"Mikulicz disease is a disorder first reported by Johann von Mikulicz in 1892 and characterised by symmetrical swelling of the lachrymal, submandibular, and parotid glands, with massive infiltration of these glands by mononuclear cells. Serum autoantibodies, such as anti-Ro/SS-A, are usually negative and serum IgG4 concentration may be increased. Unlike Sjögren disease, IgG4-Mikulicz disease is characterised by the formation of lymphoid follicles, but shows lower levels of lymphocytic infiltratio",mikulicz disease | sicca syndrome | SjS,4A43.1,米库利兹病；Mikulicz 病,04,foundation+mms,DERMO:0001715,"DOID:12894 ""sjorgen's syndrome""",,,,,,,,0,1,3,True,True
icd11:1069298482,Asteatotic eczema,"Asteatotic eczema develops from asteatosis cutis. In the latter cracking and crazing of the epidermal stratum corneum produces a flaky skin with a reticulate erythema beneath the scales. It occurs particularly on the lower legs. It is more common in the elderly and is provoked by a combination of defatting and desiccation of the epidermis. If inflammation progresses then it may become more pruritic and eczematous, asteatotic eczema.",Asteatotic dermatitis | Eczema senilis | Eczéma craquelé | Xerotic eczema | asteatotic eczema | exsiccation eczematic irritant contact dermatitis,EA84,乏脂性湿疹,14,foundation+mms,DERMO:0001358,,,,,,,,,0,17,6,True,True
icd11:15123132,Dowling-Degos disease,"Dowling-Degos disease is a rare autosomal dominant condition which usually presents post-pubertally with multiple small, round pigmented freckle-like macules. They become progressively more numerous and may become reticulate with time. The axillae and groins are the usual sites, although other areas may be involved, including the intergluteal and inframammary folds, neck, scalp, trunk, arms and genitalia. Pigmentation is symmetrical and progressive, but is otherwise asymptomatic.",Reticulate pigmented anomaly of the flexures | reticular pigmented anomoly of the flextures> | reticulated pigmented anomaly of the flexures | dark dot disease | reticular pigment anomaly of flexures,,,14,foundation,DERMO:0000377,DOID:0060256,ORPHA:79145,152,239133004,"148040 ""dowling-degos disease"";179850;615327;615674;615696",C0406811;C3714534,C562924,,9,0,5,True,False
icd11:888627426,Benign hypergammaglobulinaemic purpura,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:887049025,"Pressure ulceration, ungradable of toe",,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:1766491315,Leptospira interrogans canicola infection,,leptospirosis canicola,,,14,foundation,,,,,,,,,,0,0,1,False,True
icd11:2017339816,Acquired pseudoxanthoma elasticum,Acquired pseudoxanthoma-like skin changes due to a variety of different mechanisms. In some forms the changes are limited to the skin but in others internal organs may also be affected.,,,,14,foundation,,,ORPHA:228247,710,,,C1274759,,,0,0,0,True,False
icd11:875793399,Erythema annulare centrifugum,"Erythema annulare centrifugum is the prototypic \""annular erythema\"". Although it has several characteristic clinical features, it is a diagnosis of exclusion and must be distinguished from the many other specific causes of annular erythema including lupus tumidus, Lyme disease and leprosy. It is characterised by the development of small numbers of pink infiltrated papules which very gradually enlarge whilst fading centrally to form ring-shaped elevated plaques. It most commonly affects the thig",EAC | erythema perstans | palpable migrating erythema,,,14,foundation,DERMO:0003130,,,,"81542001 ""erythema annulare centrifugum"";399914006 ""erythema annulare centrifugum""",,,,,0,127,3,True,True
icd11:1955036595,Superficial frostbite involving multiple body regions,,"Multiple superficial frostbite, NOS",,,14,foundation,,,,,,,,,,0,0,1,False,True
icd11:288178572,"Pimple, not elsewhere classified",,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:1768042389,Bowen type intraepidermal squamous cell carcinoma,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:1172059041,Keratoconus in Down syndrome,,,,,14,foundation,,,,,,,,,,0,0,0,False,True
icd11:440403304,Neutrophilic dermatoses,A group of inflammatory skin disorders characterised by neutrophilic infiltration of the skin.,,,中性粒细胞性皮肤病,14,foundation+mms,,,,,,,,,,0,33,0,True,False
icd11:1737717544,Fish-eye disease,"Fish eye disease (FED) is a form of genetic LCAT (lecithin-cholesterol acyltransferase) deficiency characterised clinically by corneal opacifications, and biochemically by significantly reduced HDL cholesterol and partial LCAT enzyme deficiency.",Dyslipoproteinaemic corneal dystrophy | Ophthalmic ichthyosis | Partial LCAT - [lecithin-cholesterol acyltransferase] deficiency | Partial lecithin-cholesterol acyltransferase deficiency,,,14,foundation,,,,,,,,,,0,0,4,True,True
icd11:1012792544,Allergic contact dermatitis due to clothing or footwear,"Allergic contact dermatitis due to exposure to allergens found in clothing and footwear\: these include colophony, p-phenylenediamine (PPD), disperse dyes, potassium dichromate and formaldehyde resins.",Allergic contact eczema due to clothing or footwear,EK00.0,衣物或鞋类引起的变应性接触性皮炎,14,foundation+mms,,,,,,,,,,0,0,1,True,False
